568;;CIRE ANTIQUAIRE CHENE CLAIR L;CIRE ANTIQUAIRE CHENE CLAIR L;;CIR.LIQ CH.C ANTQ1L;;;;;;G;1;;;;;05072011;910;20;;A;85;4;1;;;;16032017;11.39;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
569;;CIRE ANTIQUAIRE RUSTIQUE LIQU;CIRE ANTIQUAIRE RUSTIQUE LIQU;;CIR.LIQUIDE CH.R 1L;;;;;;G;1;;;;;05072011;910;20;;A;88;4;1;;;;16032017;11.39;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
571;;CIRE ANTIQUAIRE CHENE MOYEN L;CIRE ANTIQUAIRE CHENE MOYEN L;;CIR.LIQ CH.M 1L;;;;;;G;1;;;;;05072011;910;20;;A;86;4;1;;;;16032017;11.39;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
572;;CIRE ANTIQUAIRE BOIS CLAIR 30;CIRE ANTIQUAIRE BOIS CLAIR 30;;CIR.AER BS.CLR 300;;;;;;G;1;;;;;01061993;910;20;;A;102;6;1;;;;16032017;5.35;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
573;;CIRE ANTIQUAIRE BOIS FONCE 30;CIRE ANTIQUAIRE BOIS FONCE 30;;CIR.AER BS.FNC 300;;;;;;G;1;;;;;01061993;910;20;;A;104;6;1;;;;15092018;5.42;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
751889;;SALON JARDIN KERIUNG;SALON JARDIN KERIUNG;;SALON JARDIN KERIUNG;;;;;;G;1;;;;;01082009;1880;20;;A;ANNU;1;1;;;;;0;;;;;;;;;;;;;;;;;;O;;16052011;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
753218;;batterie Accu 14.4 v;batterie Accu 14.4 v;;batterie Accu 14.4 v;;;;;;G;1;;;;;16112009;90031;20;;A;;1;1;;;;20112009;54.99;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
753225;;Pol polish spado 750ml;Pol polish spado 750ml;;Pol polish spado 750;;;;;;G;1;;;;;18112009;90024;20;;A;536272;1;1;;;;17102017;5.68;;;;;;;;;;;;;;;;;;O;;16102017;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
753376;;COLLE PLACOL 10KG;COLLE PLACOL 10KG;;COLLE PLACOL 10KG;;;;;;G;1;;;;;23112009;6030;20;;A;annu;20;1;;;;24032012;5.55;;;;;;;;;;;;;;;;;;O;;18022013;;;;;;;;;;;;;;RDD_CAS|1;ANPF|;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
